entry_id,quantity,utilize,home
1,0,2,2
2,1,1,1
3,3,1,1
4,2,1,1
5,0,1,2
6,1,1,1
7,1,1,1
8,0,2,2
9,1,1,1
10,0,1,2
11,1,1,1
12,0,2,2
13,0,1,2
14,1,1,1
15,1,1,1
16,0,2,2
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,2,1,1
22,2,1,1
23,1,1,1
24,0,2,2
25,1,1,1
26,0,2,2
27,0,2,2
28,1,2,1
29,0,2,2
30,0,2,2
31,1,1,1
32,1,2,1
33,3,1,1
34,3,1,1
35,3,1,1
36,2,1,1
37,0,2,2
38,1,1,1
39,0,2,2
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,0,1,2
45,1,2,1
46,2,1,1
47,0,2,2
48,2,1,1
49,0,2,2
50,0,2,2
51,1,2,1
52,0,2,2
53,0,2,2
54,1,1,1
55,0,2,2
56,1,2,1
57,1,2,1
58,0,2,2
59,0,2,2
60,1,1,1
61,0,2,2
62,0,1,2
63,0,2,2
64,0,2,2
65,0,2,2
66,2,1,1
67,0,2,2
68,0,1,2
69,2,1,1
70,0,2,2
71,0,1,2
72,0,2,2
73,0,2,2
74,1,1,1
75,0,2,2
76,0,1,2
77,0,2,2
78,1,1,1
79,1,1,1
80,3,1,1
81,0,2,2
82,1,1,1
83,0,2,2
84,0,2,2
85,0,2,2
86,0,2,2
87,0,2,2
88,0,2,2
89,0,2,2
90,3,1,1
91,0,2,2
92,2,1,1
93,0,2,2
94,0,2,2
95,1,2,1
96,0,2,2
97,0,2,2
98,0,2,2
99,2,1,1
100,0,2,2
101,0,2,2
102,0,2,2
103,0,2,2
104,0,2,2
105,2,2,1
106,3,1,1
107,1,1,1
108,1,1,1
109,2,1,1
110,0,2,2
111,4,1,1
112,0,2,2
113,0,2,2
114,0,2,2
115,2,1,1
116,0,1,2
117,2,1,1
118,0,2,2
119,0,2,2
120,1,1,1
121,0,2,2
122,1,1,1
123,0,1,2
124,1,1,1
125,1,1,1
126,0,2,2
127,0,2,2
128,2,1,1
129,0,2,2
130,1,1,1
131,1,1,1
132,3,1,1
133,0,2,2
134,0,2,2
135,0,2,2
136,1,1,1
137,2,1,1
138,1,1,1
139,1,1,1
140,2,1,1
141,1,1,1
142,3,1,1
143,1,2,1
144,0,2,2
145,0,2,2
146,0,2,2
147,0,2,2
148,0,2,2
149,1,1,1
150,0,1,2
151,1,1,1
152,0,2,2
153,0,2,2
154,2,1,1
155,1,1,1
156,0,2,2
157,0,1,2
158,1,1,1
159,0,2,2
160,1,1,1
161,1,1,1
162,0,1,2
163,0,1,2
164,0,2,2
165,2,2,1
166,0,2,2
167,0,2,2
168,0,2,2
169,1,1,1
170,1,1,1
171,0,2,2
172,0,2,2
173,1,1,1
174,0,2,2
175,0,2,2
176,1,1,1
177,2,1,1
178,0,2,2
179,0,2,2
180,0,1,2
181,1,1,1
182,1,1,1
183,1,1,1
184,1,1,1
185,1,1,1
186,0,2,2
187,1,1,1
188,2,1,1
189,0,2,2
190,1,1,1
191,1,1,1
192,0,2,2
193,2,2,1
194,1,2,1
195,0,2,2
196,1,1,1
197,0,2,2
198,0,1,2
199,2,1,1
200,2,1,1
201,0,2,2
202,1,2,1
203,0,2,2
204,0,1,2
205,0,2,2
206,1,1,1
207,0,2,2
208,0,2,2
209,1,1,1
210,1,1,1
211,2,2,1
212,2,1,1
213,2,1,1
214,2,1,1
215,3,1,1
216,1,2,1
217,0,2,2
218,1,2,1
219,0,2,2
220,0,2,2
221,0,1,2
222,1,1,1
223,1,1,1
224,0,2,2
225,1,1,1
226,2,1,1
227,1,2,1
228,0,2,2
229,0,2,2
230,0,2,2
231,0,1,2
232,0,2,2
233,0,2,2
234,0,2,2
235,2,1,1
236,0,2,2
237,0,2,2
238,4,1,1
239,0,2,2
240,2,1,1
241,0,2,2
242,4,1,1
243,0,2,2
244,0,2,2
245,1,1,1
246,2,1,1
247,0,2,2
248,1,1,1
249,1,1,1
250,1,1,1
251,0,2,2
252,2,1,1
253,1,1,1
254,0,2,2
255,0,1,2
256,0,2,2
257,0,2,2
258,1,1,1
259,0,2,2
260,1,1,1
261,0,2,2
262,1,1,1
263,0,2,2
264,0,1,2
265,1,1,1
266,1,1,1
267,1,2,1
268,0,2,2
269,0,1,2
270,0,2,2
271,0,2,2
272,1,1,1
273,1,1,1
274,1,1,1
275,1,1,1
276,1,1,1
277,1,1,1
278,0,1,2
279,1,1,1
280,1,1,1
281,0,2,2
282,0,2,2
283,0,2,2
284,0,2,2
285,0,2,2
286,1,1,1
287,0,2,2
288,1,1,1
289,0,2,2
290,1,1,1
291,1,1,1
292,0,2,2
293,1,1,1
294,0,2,2
295,0,1,2
296,0,2,2
297,1,1,1
298,0,2,2
299,0,2,2
300,1,1,1
301,2,1,1
302,1,2,1
303,0,2,2
304,2,1,1
305,0,1,2
306,4,1,1
307,0,2,2
308,0,2,2
309,0,2,2
310,3,1,1
311,1,1,1
312,0,2,2
313,0,2,2
314,1,1,1
315,0,1,2
316,0,2,2
317,0,2,2
318,0,2,2
319,0,2,2
320,1,1,1
321,1,1,1
322,0,2,2
323,4,1,1
324,0,2,2
325,1,1,1
326,3,1,1
327,1,1,1
328,0,2,2
329,0,2,2
330,0,2,2
331,2,1,1
332,0,1,2
333,0,2,2
334,0,2,2
335,4,1,1
336,0,2,2
337,0,1,2
338,0,1,2
339,2,1,1
340,0,2,2
341,0,2,2
342,1,2,1
343,0,1,2
344,2,2,1
345,0,2,2
346,1,1,1
347,1,2,1
348,1,1,1
349,2,1,1
350,1,1,1
351,0,1,2
352,0,2,2
353,0,2,2
354,2,1,1
355,0,2,2
356,0,2,2
357,1,1,1
358,2,1,1
359,0,1,2
360,1,1,1
361,1,1,1
362,0,1,2
363,0,2,2
364,1,1,1
365,1,1,1
366,2,1,1
367,0,2,2
368,1,2,1
369,0,2,2
370,2,1,1
371,1,1,1
372,0,2,2
373,2,1,1
374,1,1,1
375,0,2,2
376,0,2,2
377,0,2,2
378,0,2,2
379,1,1,1
380,3,2,1
381,0,1,2
382,0,2,2
383,1,1,1
384,1,1,1
385,0,2,2
386,0,2,2
387,0,2,2
388,0,1,2
389,1,2,1
390,1,1,1
391,2,2,1
392,1,1,1
393,0,2,2
394,1,1,1
395,1,1,1
396,1,2,1
397,1,2,1
398,1,1,1
399,0,2,2
400,4,1,1
401,1,1,1
402,0,2,2
403,4,1,1
404,0,2,2
405,0,2,2
406,0,2,2
407,0,2,2
408,1,2,1
409,0,2,2
410,0,1,2
411,0,2,2
412,0,2,2
413,1,1,1
414,2,1,1
415,2,1,1
416,0,2,2
417,1,2,1
418,2,1,1
419,0,1,2
420,1,1,1
421,0,2,2
422,0,2,2
423,0,2,2
424,0,2,2
425,0,2,2
426,1,1,1
427,2,2,1
428,1,1,1
429,0,2,2
430,0,2,2
431,1,1,1
432,2,1,1
433,1,1,1
434,0,2,2
435,0,2,2
436,0,2,2
437,1,1,1
438,0,1,2
439,0,2,2
440,1,1,1
441,1,1,1
442,1,2,1
443,1,1,1
444,0,2,2
445,2,1,1
446,1,1,1
447,0,2,2
448,3,1,1
449,1,1,1
450,1,1,1
451,1,1,1
452,1,1,1
453,3,1,1
454,1,1,1
455,0,2,2
456,1,2,1
457,0,2,2
458,0,2,2
459,0,2,2
460,1,1,1
461,0,1,2
462,0,1,2
463,0,2,2
464,0,2,2
465,2,1,1
466,2,1,1
467,1,1,1
468,0,2,2
469,0,2,2
470,2,1,1
471,2,1,1
472,1,2,1
473,2,1,1
474,0,2,2
475,0,2,2
476,1,1,1
477,1,1,1
478,0,2,2
479,0,2,2
480,0,2,2
481,0,2,2
482,0,2,2
483,1,1,1
484,0,2,2
485,3,1,1
486,1,1,1
487,0,2,2
488,0,1,2
489,1,1,1
490,1,2,1
491,1,1,1
492,1,1,1
493,0,2,2
494,0,2,2
495,1,1,1
496,0,2,2
497,0,2,2
498,2,1,1
499,0,2,2
500,1,2,1
501,0,1,2
502,1,2,1
503,0,1,2
504,1,1,1
505,3,1,1
506,2,1,1
507,0,2,2
508,0,2,2
509,0,2,2
510,0,2,2
511,0,2,2
512,0,2,2
513,1,2,1
514,0,2,2
515,1,2,1
516,0,2,2
517,0,2,2
518,1,1,1
519,1,1,1
520,0,2,2
521,0,2,2
522,0,2,2
523,0,2,2
524,1,1,1
525,0,2,2
526,2,1,1
527,0,1,2
528,0,2,2
529,1,1,1
530,0,2,2
531,4,1,1
532,0,2,2
533,0,2,2
534,0,2,2
535,0,2,2
536,1,1,1
537,0,2,2
538,1,1,1
539,3,1,1
540,0,2,2
541,2,1,1
542,0,2,2
543,4,1,1
544,2,2,1
545,0,2,2
546,2,2,1
547,1,2,1
548,0,2,2
549,2,1,1
550,0,2,2
551,1,1,1
552,1,1,1
553,1,1,1
554,3,1,1
555,1,1,1
556,0,2,2
557,0,2,2
558,2,1,1
559,0,1,2
560,0,2,2
561,0,1,2
562,0,2,2
563,1,1,1
564,1,1,1
565,1,1,1
566,0,2,2
567,0,2,2
568,0,2,2
569,0,1,2
570,0,2,2
571,0,2,2
572,1,1,1
573,1,1,1
574,1,1,1
575,0,1,2
576,0,2,2
577,0,2,2
578,3,1,1
579,0,2,2
580,1,1,1
581,0,2,2
582,1,1,1
583,0,2,2
584,0,1,2
585,0,2,2
586,0,1,2
587,0,2,2
588,1,1,1
589,0,2,2
590,1,1,1
591,2,1,1
592,2,1,1
593,1,1,1
594,0,2,2
595,1,2,1
596,0,2,2
597,0,2,2
598,2,1,1
599,2,2,1
600,0,2,2
601,0,2,2
602,1,2,1
603,0,2,2
604,3,1,1
605,2,1,1
606,0,2,2
607,0,2,2
608,0,2,2
609,0,2,2
610,1,1,1
611,1,1,1
612,0,2,2
613,3,1,1
614,1,1,1
615,0,2,2
616,0,2,2
617,1,2,1
618,1,1,1
619,1,1,1
620,2,2,1
621,0,2,2
622,0,2,2
623,0,2,2
624,0,2,2
625,2,1,1
626,0,2,2
627,0,1,2
628,1,1,1
629,1,2,1
630,0,2,2
631,1,1,1
632,0,1,2
633,1,1,1
634,0,2,2
635,2,1,1
636,0,2,2
637,1,2,1
638,0,2,2
639,1,1,1
640,2,1,1
641,1,1,1
642,2,1,1
643,1,1,1
644,1,1,1
645,1,1,1
646,0,2,2
647,0,2,2
648,1,1,1
649,0,2,2
650,2,1,1
651,1,2,1
652,0,2,2
653,1,1,1
654,2,1,1
655,1,2,1
656,1,1,1
657,2,1,1
658,1,1,1
659,0,2,2
660,1,1,1
661,0,2,2
662,1,1,1
663,0,2,2
664,0,2,2
665,0,2,2
666,0,2,2
667,0,2,2
668,1,1,1
669,2,1,1
670,2,1,1
671,0,2,2
672,1,2,1
673,0,2,2
674,0,2,2
675,0,2,2
676,1,2,1
677,1,1,1
678,0,2,2
679,0,2,2
680,0,2,2
681,1,1,1
682,0,2,2
683,0,2,2
684,1,1,1
685,1,1,1
686,0,2,2
687,0,2,2
688,0,2,2
689,1,1,1
690,0,2,2
691,0,2,2
692,3,1,1
693,2,1,1
694,0,2,2
695,0,2,2
696,0,2,2
697,1,1,1
698,1,1,1
699,1,1,1
700,1,1,1
701,1,1,1
702,1,1,1
703,0,1,2
704,3,1,1
705,0,2,2
