entry_id,quantity,utilize,home
1,0,2,2
2,0,2,2
3,0,2,2
4,1,2,1
5,0,1,2
6,0,2,2
7,1,1,1
8,1,1,1
9,0,2,2
10,1,1,1
11,0,2,2
12,1,2,1
13,2,1,1
14,0,2,2
15,0,2,2
16,0,2,2
17,1,1,1
18,0,2,2
19,0,2,2
20,1,1,1
21,1,1,1
22,0,2,2
23,0,2,2
24,0,2,2
25,0,1,2
26,0,2,2
27,0,2,2
28,1,1,1
29,0,2,2
30,1,1,1
31,0,2,2
32,0,2,2
33,0,2,2
34,0,2,2
35,0,2,2
36,0,2,2
37,1,1,1
38,1,1,1
39,0,2,2
40,0,2,2
41,1,1,1
42,0,1,2
43,4,1,1
44,1,1,1
45,0,2,2
46,0,1,2
47,0,2,2
48,0,1,2
49,0,2,2
50,0,2,2
51,0,2,2
52,0,2,2
53,1,1,1
54,1,1,1
55,3,1,1
56,0,2,2
57,0,2,2
58,0,2,2
59,2,1,1
60,0,2,2
61,0,2,2
62,0,1,2
63,1,1,1
64,0,2,2
65,0,2,2
66,0,1,2
67,0,1,2
68,0,1,2
69,0,2,2
70,1,1,1
71,0,1,2
72,0,2,2
73,0,2,2
74,1,1,1
75,1,2,1
76,1,1,1
77,0,2,2
78,0,2,2
79,1,1,1
80,0,1,2
81,0,2,2
82,0,2,2
83,0,2,2
84,1,1,1
85,0,2,2
86,0,2,2
87,0,2,2
88,0,1,2
89,0,2,2
90,0,1,2
91,0,2,2
92,1,1,1
93,1,1,1
94,1,1,1
95,2,1,1
96,2,1,1
97,1,1,1
98,1,1,1
99,2,1,1
100,1,1,1
101,1,1,1
102,3,1,1
103,1,1,1
104,1,1,1
105,0,1,2
106,0,2,2
107,0,2,2
108,0,2,2
109,1,2,1
110,0,1,2
111,2,1,1
112,0,2,2
113,0,1,2
114,1,1,1
115,0,2,2
116,0,2,2
117,0,2,2
118,0,1,2
119,1,1,1
120,1,2,1
121,0,1,2
122,0,2,2
123,0,1,2
124,0,1,2
125,0,2,2
126,1,1,1
127,0,2,2
128,1,2,1
129,1,1,1
130,0,2,2
131,1,1,1
132,0,2,2
133,0,1,2
134,2,1,1
135,3,1,1
136,1,1,1
137,0,2,2
138,0,2,2
139,0,2,2
140,3,2,1
141,0,2,2
142,0,2,2
143,0,2,2
144,0,1,2
145,1,2,1
146,1,1,1
147,2,1,1
148,2,1,1
149,0,1,2
150,0,1,2
151,1,1,1
152,0,2,2
153,0,2,2
154,0,1,2
155,1,1,1
156,0,2,2
157,0,1,2
158,1,1,1
159,1,1,1
160,1,1,1
161,1,1,1
162,0,2,2
163,0,2,2
164,1,1,1
165,1,2,1
166,0,2,2
167,0,2,2
168,0,2,2
169,0,1,2
170,1,1,1
171,0,1,2
172,0,2,2
173,0,2,2
174,0,1,2
175,0,2,2
176,1,1,1
177,0,1,2
178,0,2,2
179,0,2,2
180,1,1,1
181,0,2,2
182,1,1,1
183,0,1,2
184,1,1,1
185,1,1,1
186,0,2,2
187,0,2,2
188,0,2,2
189,0,2,2
190,0,2,2
191,0,2,2
192,1,2,1
193,1,1,1
194,0,2,2
195,0,1,2
196,0,2,2
197,0,1,2
198,0,1,2
199,1,1,1
200,0,1,2
201,1,1,1
202,2,1,1
203,1,1,1
204,1,1,1
205,2,1,1
206,2,1,1
207,1,1,1
208,1,1,1
209,1,1,1
210,1,1,1
211,0,1,2
212,0,2,2
213,0,2,2
214,0,2,2
215,0,2,2
216,1,1,1
217,1,1,1
218,0,2,2
219,0,2,2
220,0,2,2
221,1,1,1
222,1,2,1
223,0,2,2
224,1,1,1
225,0,2,2
226,1,2,1
227,1,2,1
228,6,1,1
229,0,1,2
230,1,1,1
231,0,1,2
232,0,2,2
233,1,1,1
234,0,2,2
235,0,2,2
236,0,2,2
237,1,1,1
238,1,1,1
239,1,1,1
240,1,1,1
241,2,1,1
242,0,2,2
243,0,2,2
244,0,2,2
245,0,2,2
246,1,2,1
247,0,2,2
248,0,2,2
249,1,2,1
250,1,2,1
251,0,2,2
252,1,2,1
253,1,2,1
254,2,1,1
255,0,1,2
256,0,2,2
257,0,2,2
258,1,1,1
259,1,1,1
260,0,2,2
261,0,2,2
262,4,1,1
263,0,1,2
264,1,1,1
265,0,1,2
266,0,1,2
267,0,2,2
268,0,2,2
269,0,1,2
270,3,1,1
271,1,1,1
272,1,2,1
273,1,1,1
274,0,2,2
275,1,1,1
276,0,2,2
277,0,2,2
278,1,1,1
279,0,2,2
280,4,1,1
281,0,1,2
282,0,2,2
283,0,2,2
284,0,2,2
285,6,1,1
286,0,2,2
287,0,2,2
288,0,2,2
289,0,2,2
290,0,2,2
291,1,1,1
292,1,1,1
293,0,1,2
294,0,2,2
295,0,1,2
296,0,2,2
297,0,2,2
298,0,2,2
299,0,2,2
300,0,2,2
301,1,2,1
302,0,2,2
303,0,2,2
304,0,2,2
305,1,1,1
306,0,2,2
307,0,2,2
308,0,1,2
309,1,1,1
310,0,2,2
311,0,2,2
312,2,1,1
313,0,2,2
314,1,1,1
315,1,1,1
316,0,2,2
317,1,1,1
318,1,1,1
319,3,1,1
320,1,1,1
321,1,1,1
322,2,1,1
323,0,2,2
324,0,2,2
325,1,2,1
326,0,2,2
327,1,2,1
328,0,2,2
329,1,1,1
330,0,2,2
331,0,1,2
332,0,1,2
333,0,2,2
334,0,2,2
335,0,2,2
336,1,2,1
337,1,1,1
338,1,1,1
339,0,2,2
340,0,2,2
341,0,1,2
342,1,1,1
343,2,1,1
344,0,2,2
345,0,2,2
346,1,2,1
347,0,2,2
348,1,1,1
349,1,1,1
350,1,1,1
351,1,1,1
352,1,1,1
353,1,1,1
354,0,2,2
355,1,1,1
356,1,1,1
357,0,2,2
358,0,1,2
359,0,1,2
360,2,1,1
361,1,1,1
362,1,1,1
363,0,2,2
364,1,2,1
365,1,1,1
366,0,2,2
367,0,2,2
368,0,2,2
369,0,2,2
370,0,2,2
371,1,2,1
372,0,2,2
373,1,2,1
374,1,1,1
375,1,1,1
376,1,1,1
377,2,1,1
378,0,2,2
379,0,2,2
380,0,2,2
381,0,1,2
382,0,2,2
383,1,1,1
384,1,1,1
385,0,2,2
386,1,1,1
387,0,2,2
388,1,1,1
389,1,1,1
390,0,1,2
391,0,2,2
392,0,2,2
393,0,2,2
394,0,2,2
395,1,2,1
396,0,2,2
397,1,1,1
398,0,1,2
399,1,1,1
400,0,2,2
401,1,2,1
402,0,2,2
403,1,1,1
404,2,1,1
405,0,1,2
406,1,1,1
407,3,1,1
408,0,1,2
409,1,1,1
410,1,1,1
411,1,1,1
412,2,1,1
413,0,2,2
414,0,2,2
415,0,2,2
416,1,1,1
417,1,1,1
418,0,2,2
419,0,1,2
420,2,1,1
421,1,1,1
422,0,2,2
423,0,2,2
424,1,2,1
425,0,2,2
426,1,2,1
427,0,2,2
428,0,1,2
429,1,1,1
430,2,1,1
431,0,2,2
432,1,1,1
