entry_id,quantity,utilize,home
1,0,1,2
2,0,2,2
3,0,2,2
4,1,2,1
5,1,1,1
6,1,1,1
7,0,1,2
8,0,2,2
9,1,1,1
10,0,1,2
11,1,2,1
12,0,2,2
13,1,1,1
14,0,2,2
15,1,1,1
16,1,1,1
17,1,1,1
18,1,1,1
19,1,1,1
20,0,1,2
21,0,1,2
22,0,2,2
23,0,2,2
24,0,2,2
25,0,1,2
26,0,2,2
27,1,1,1
28,0,2,2
29,1,1,1
30,1,1,1
31,0,2,2
32,0,2,2
33,0,2,2
34,0,2,2
35,0,2,2
36,0,2,2
37,1,1,1
38,0,2,2
39,0,2,2
40,0,2,2
41,0,2,2
42,1,1,1
43,3,1,1
44,0,1,2
45,0,2,2
46,1,1,1
47,1,1,1
48,0,1,2
49,0,2,2
50,0,2,2
51,0,2,2
52,0,2,2
53,0,1,2
54,0,1,2
55,0,2,2
56,0,2,2
57,0,2,2
58,1,1,1
59,2,1,1
60,0,2,2
61,0,2,2
62,0,1,2
63,0,2,2
64,0,2,2
65,0,2,2
66,0,1,2
67,0,1,2
68,0,1,2
69,0,2,2
70,0,2,2
71,0,1,2
72,0,2,2
73,1,1,1
74,1,2,1
75,1,2,1
76,0,1,2
77,0,2,2
78,0,2,2
79,0,1,2
80,0,2,2
81,0,2,2
82,0,2,2
83,0,2,2
84,0,2,2
85,0,2,2
86,1,1,1
87,0,2,2
88,0,1,2
89,1,1,1
90,0,1,2
91,0,2,2
92,0,2,2
93,0,2,2
94,1,1,1
95,1,2,1
96,0,1,2
97,0,2,2
98,0,2,2
99,0,2,2
100,1,1,1
101,1,1,1
102,0,2,2
103,0,2,2
104,1,1,1
105,0,1,2
106,0,2,2
107,0,2,2
108,0,2,2
109,1,2,1
110,0,1,2
111,1,1,1
112,0,1,2
113,0,1,2
114,0,2,2
115,0,2,2
116,0,2,2
117,0,1,2
118,0,1,2
119,1,1,1
120,0,2,2
121,0,1,2
122,1,1,1
123,0,1,2
124,0,2,2
125,0,2,2
