entry_id,household_size,age,city,social_media,news_source,internet_trust,preferred_device,gender
1,9,19,4,7,1,99,99,1
2,2,54,9,95,1,99,99,1
3,5,34,8,95,1,99,99,2
4,4,56,9,95,1,99,99,2
5,5,22,19,1,1,3,2,1
6,5,41,18,1,1,3,2,2
7,6,15,1,1,5,3,2,1
8,9,17,1,1,5,3,2,1
9,6,19,10,1,1,3,2,1
10,2,22,8,1,4,2,2,1
11,4,27,1,1,5,2,2,1
12,5,32,16,1,3,2,2,1
13,4,39,8,1,4,2,2,1
14,2,47,8,1,1,2,2,1
15,4,60,14,1,2,2,2,1
16,5,16,4,1,1,2,2,2
17,6,19,16,1,5,3,2,2
18,7,22,13,1,1,3,2,2
19,4,24,6,1,1,3,2,2
20,3,27,7,4,1,3,2,2
21,5,34,6,1,1,3,2,2
22,3,41,7,1,1,2,2,2
23,2,48,14,4,1,3,2,2
24,2,63,3,1,1,2,2,2
25,6,29,6,1,1,4,2,1
26,3,22,5,1,1,2,2,2
27,3,21,3,1,1,2,2,1
28,4,30,4,1,1,4,2,1
29,3,56,5,1,1,3,2,2
30,3,31,18,4,1,3,2,2
31,6,44,8,95,1,99,99,2
32,5,49,5,95,1,99,99,2
33,2,51,7,95,1,99,99,2
34,3,55,13,95,1,99,99,2
35,3,60,13,95,1,99,99,2
36,4,62,4,95,1,99,99,2
37,5,18,11,1,1,3,2,1
38,7,30,1,1,1,3,2,1
39,2,47,19,1,1,3,2,1
40,9,17,3,1,1,3,2,2
41,5,23,3,1,1,3,2,2
42,2,15,8,1,1,2,2,1
43,10,14,1,7,4,2,2,1
44,5,15,6,1,1,2,2,1
45,4,16,1,1,1,4,2,1
46,7,17,18,1,1,3,2,1
47,5,17,11,4,1,3,2,1
48,6,18,14,1,5,2,2,1
49,2,20,1,4,5,2,2,1
50,3,22,1,1,1,2,2,1
51,8,24,12,4,1,2,2,1
52,4,26,18,1,1,3,2,1
53,4,27,4,1,1,2,2,1
54,5,30,6,1,1,2,2,1
55,9,33,1,1,1,3,2,1
56,2,36,9,4,1,3,2,1
57,2,38,9,4,1,3,2,1
58,5,43,6,1,1,2,2,1
59,6,47,10,1,1,2,2,1
60,3,53,1,1,1,3,2,1
61,4,59,6,4,2,3,2,1
62,5,13,9,1,5,3,2,2
63,6,15,1,1,1,2,2,2
64,4,16,1,1,5,2,2,2
65,4,17,20,1,2,3,2,2
66,4,19,9,1,1,2,2,2
67,3,20,3,1,1,3,2,2
68,4,21,15,1,1,2,2,2
69,8,22,10,1,1,3,2,2
70,6,23,8,1,5,3,2,2
71,6,24,9,1,1,3,2,2
72,6,25,13,1,5,3,2,2
73,4,26,11,1,1,3,2,2
74,3,26,15,1,1,2,2,2
75,4,28,1,1,1,2,2,2
76,4,30,14,1,1,2,2,2
77,3,31,11,1,1,2,2,2
78,5,33,13,1,5,3,2,2
79,3,35,7,4,1,3,2,2
80,10,39,9,1,1,2,3,2
81,2,43,5,1,1,3,2,2
82,2,46,14,4,1,3,2,2
83,3,47,12,1,1,3,2,2
84,4,53,9,4,1,3,2,2
85,3,58,4,1,1,3,2,2
86,4,64,1,1,5,3,2,2
87,1,18,12,1,1,3,2,1
88,2,28,12,1,1,4,2,1
89,4,42,13,4,1,3,1,1
90,5,62,1,95,1,2,1,1
91,9,28,10,1,1,3,2,2
92,5,43,13,1,1,3,2,2
93,5,21,8,1,1,2,2,1
94,4,36,18,1,5,2,2,2
95,5,42,18,1,1,3,1,1
96,4,34,8,1,1,2,2,2
97,3,29,12,1,1,2,2,2
98,7,35,16,1,4,3,2,2
99,4,37,3,1,1,2,2,2
100,4,26,8,1,1,3,2,1
101,4,20,4,1,1,2,2,1
102,3,43,13,1,1,4,3,1
103,4,37,9,4,4,2,2,1
104,1,27,14,1,5,4,1,2
105,4,13,5,1,5,2,2,2
106,3,24,19,95,1,99,99,1
107,9,51,8,95,1,99,99,1
108,3,32,9,95,2,99,99,2
109,4,55,9,95,1,99,99,2
110,4,19,18,1,1,2,2,1
111,4,23,10,1,4,3,2,2
112,3,15,8,3,5,2,2,1
113,4,16,3,1,1,2,2,1
114,6,18,1,1,1,2,2,1
115,6,22,1,1,1,2,2,1
116,2,26,3,1,1,3,2,1
117,5,31,10,1,4,2,2,1
118,6,38,9,4,1,2,2,1
119,6,47,13,1,1,3,2,1
120,6,59,10,7,1,2,2,1
121,4,15,16,1,5,3,2,2
122,4,18,6,1,1,3,2,2
123,6,21,9,1,1,3,2,2
124,6,24,4,4,1,4,3,2
125,3,27,7,4,1,4,2,2
126,4,33,1,4,5,2,2,2
127,4,40,1,1,1,3,2,2
128,5,47,1,4,1,3,2,2
129,4,59,12,1,1,2,2,2
130,6,27,13,1,1,2,2,1
131,4,19,13,2,1,2,2,2
132,4,19,7,1,1,2,2,1
133,4,35,4,4,1,2,2,2
134,6,37,1,7,1,3,2,1
135,3,44,13,1,1,4,3,1
136,4,20,10,1,5,2,2,2
137,2,29,13,95,1,99,99,1
138,2,45,10,95,1,99,99,2
139,6,50,1,95,1,99,99,2
140,5,53,8,95,1,99,99,2
141,3,58,20,95,1,99,99,2
142,4,61,1,95,1,99,99,2
143,5,65,5,95,1,99,99,2
144,4,19,18,1,1,2,2,1
145,5,34,19,1,1,3,2,1
146,2,51,1,1,1,2,2,1
147,5,20,3,1,1,2,2,2
148,3,44,3,3,1,2,2,2
149,2,16,8,1,1,2,2,1
150,6,14,18,1,5,3,2,1
151,6,15,1,1,5,3,2,1
152,8,16,4,1,1,2,2,1
153,3,17,1,4,1,1,2,1
154,3,17,7,1,4,2,2,1
155,6,18,9,1,1,1,2,1
156,7,20,1,1,5,3,2,1
157,3,22,18,1,1,3,2,1
158,5,24,1,2,4,2,2,1
159,3,26,1,1,2,1,2,1
160,9,28,1,1,1,3,2,1
161,4,30,20,1,1,3,1,1
162,2,33,3,1,1,3,2,1
163,4,37,15,4,1,2,2,1
164,6,39,4,1,4,2,2,1
165,8,43,1,4,1,2,2,1
166,1,47,4,1,1,2,2,1
167,1,53,1,4,1,4,2,1
168,3,59,8,1,1,3,2,1
169,2,13,3,1,1,2,2,2
170,4,15,14,1,1,2,2,2
171,4,16,16,1,5,3,2,2
172,6,18,1,1,1,3,2,2
173,4,19,8,1,1,3,2,2
174,1,20,12,4,1,1,2,2
175,5,21,18,1,1,2,2,2
176,2,22,13,4,1,3,2,2
177,5,23,4,1,1,3,2,2
178,7,24,1,1,1,3,2,2
