entry_id,reported,scam_type
6,1,1
10,2,3
15,2,1
25,1,3
69,2,1
71,2,3
87,2,1
92,2,2
100,2,1
105,1,3
121,2,1
123,2,3
150,2,3
157,2,3
171,2,1
199,2,2
211,1,3
240,1,1
311,1,3
336,2,2
349,2,2
350,2,3
352,2,1
381,2,3
398,1,3
458,2,3
469,2,4
474,1,3
476,1,1
515,2,1
527,2,3
542,2,1
547,2,1
564,2,1
605,1,1
613,1,1
614,1,1
618,2,1
625,2,1
659,1,3
660,1,1
669,2,1
689,2,3
694,2,1
721,2,3
730,2,1
733,2,99
766,2,3
769,2,3
774,2,99
786,1,3
803,1,1
806,2,3
815,2,3
816,2,4
821,2,2
849,2,99
860,2,3
864,2,1
900,2,99
