entry_id,utilize,home,quantity
1,1,1,3
2,1,1,1
3,2,2,0
4,2,1,2
5,1,1,2
6,1,1,3
7,1,1,3
8,1,1,5
9,1,1,4
10,1,1,3
11,1,1,2
12,1,1,3
13,1,1,3
14,1,1,1
15,1,1,2
16,1,1,5
17,1,1,10
18,1,1,4
19,1,1,4
20,1,1,1
21,1,1,2
22,1,1,2
23,1,1,1
24,1,1,2
25,1,1,5
26,1,1,3
27,1,1,3
28,1,1,4
29,1,1,3
30,1,1,3
31,2,2,0
32,2,1,2
33,2,2,0
34,1,1,2
35,1,1,2
36,2,1,2
37,1,1,1
38,1,1,4
39,1,1,1
40,1,1,2
41,1,1,3
42,1,1,1
43,1,1,8
44,1,1,3
45,1,1,3
46,1,1,3
47,1,1,1
48,1,1,4
49,1,1,1
50,1,1,3
51,1,1,5
52,1,1,3
53,1,1,2
54,1,1,2
55,1,1,5
56,1,1,1
57,1,1,1
58,1,1,2
59,1,1,6
60,1,1,3
61,1,1,3
62,1,1,5
63,1,1,6
64,1,1,4
65,1,1,3
66,1,1,2
67,1,1,3
68,1,1,5
69,1,1,5
70,1,1,5
71,1,1,2
72,1,1,5
73,1,1,1
74,1,1,3
75,1,1,4
76,1,1,3
77,1,1,1
78,1,1,1
79,1,1,1
80,1,1,5
81,1,1,2
82,1,1,1
83,1,1,3
84,1,1,2
85,1,1,3
86,1,1,3
87,1,1,1
88,1,1,2
89,1,1,4
90,2,1,1
91,1,1,3
92,1,1,4
93,1,1,5
94,1,1,5
95,1,1,3
96,1,1,3
97,1,1,2
98,1,1,4
99,1,1,2
100,1,1,2
101,1,1,4
102,1,1,2
103,1,1,2
104,1,1,1
105,1,1,1
106,2,2,0
107,2,1,2
108,2,2,0
109,2,1,2
110,1,1,4
111,1,1,4
112,1,1,2
113,1,1,3
114,1,1,6
115,1,1,4
116,1,1,2
117,1,1,2
118,1,1,2
119,1,1,4
120,1,1,3
121,1,1,4
122,1,1,4
123,1,1,2
124,1,1,3
125,2,2,0
126,1,1,2
127,1,1,3
128,1,1,1
129,1,1,4
130,1,1,1
131,1,1,2
132,1,1,2
133,1,1,2
134,1,1,3
135,1,1,2
136,1,1,1
137,2,2,0
138,2,1,1
139,2,1,5
140,2,1,3
141,2,2,0
142,2,2,0
143,2,1,2
144,1,1,4
145,1,1,3
146,1,1,2
147,1,1,5
148,1,1,4
149,1,1,1
150,1,1,4
151,1,1,3
152,1,1,5
153,1,1,2
154,1,1,1
155,1,1,5
156,1,1,4
157,1,1,1
158,1,1,4
159,1,1,2
160,1,1,5
161,2,2,0
162,1,1,2
163,1,1,3
164,1,1,6
165,1,1,5
166,1,1,1
167,1,1,1
168,1,1,2
169,1,1,1
170,1,1,6
171,1,1,4
172,1,1,4
173,1,1,2
174,1,1,1
175,1,1,2
176,1,1,4
177,1,1,3
178,1,1,5
179,1,1,1
180,1,1,3
181,1,1,1
182,1,1,3
183,1,1,2
184,1,1,2
185,1,1,2
186,1,1,1
187,1,1,4
188,1,1,2
189,1,1,3
190,1,1,2
191,1,1,1
192,1,1,3
193,1,1,3
194,1,1,5
195,1,1,2
196,2,2,0
197,1,1,5
198,1,1,2
199,1,1,4
200,1,1,2
201,1,1,5
202,1,1,3
203,1,1,4
204,1,1,2
205,1,1,3
206,1,1,1
207,1,1,4
208,1,1,4
209,1,1,3
210,1,1,2
211,1,1,1
212,2,2,0
213,1,1,2
214,2,1,1
215,2,2,0
216,1,1,1
217,1,1,2
218,1,1,4
219,1,1,5
220,1,1,2
221,1,1,7
222,1,1,2
223,1,1,2
224,1,1,6
225,1,1,6
226,2,1,2
227,1,1,3
228,1,1,6
229,1,1,1
230,1,1,5
231,1,1,1
232,1,1,1
233,1,1,5
234,1,1,3
235,1,1,2
236,1,1,1
237,1,1,8
238,1,1,5
239,1,1,4
240,1,1,1
241,1,1,4
242,2,2,0
243,1,1,3
244,2,1,1
245,2,2,0
246,2,1,1
247,2,2,0
248,2,2,0
249,2,1,4
250,1,1,2
251,1,1,1
252,2,1,2
253,1,1,2
254,1,1,7
255,1,1,2
256,1,1,1
257,1,1,3
258,1,1,3
259,1,1,2
260,2,1,2
261,1,1,4
262,1,1,7
263,1,1,5
264,1,1,3
265,1,1,5
266,1,1,4
267,1,1,5
268,1,1,3
269,1,1,4
270,1,1,5
271,1,1,3
272,1,1,2
273,1,1,2
274,1,1,2
275,1,1,3
276,1,1,2
277,1,1,1
278,1,1,3
279,1,1,3
280,1,1,8
281,1,1,1
282,1,1,3
283,1,1,4
284,1,1,3
285,1,1,6
286,1,1,1
287,1,1,2
288,1,1,3
289,1,1,1
290,1,1,1
291,1,1,3
292,1,1,5
293,1,1,2
294,1,1,1
295,1,1,1
296,1,1,1
297,1,1,1
298,1,1,1
299,1,1,1
300,1,1,1
301,1,1,1
302,1,1,2
303,1,1,3
304,1,1,2
305,1,1,3
306,1,1,4
307,1,1,4
308,1,1,5
309,1,1,8
310,1,1,2
311,1,1,5
312,1,1,5
313,1,1,2
314,1,1,4
315,1,1,2
316,1,1,3
317,1,1,4
318,1,1,4
319,1,1,2
320,1,1,3
321,1,1,2
322,1,1,3
323,2,2,0
324,1,1,3
325,2,1,5
326,2,2,0
327,1,1,2
328,1,1,3
329,1,1,2
330,1,1,2
331,1,1,4
332,1,1,4
333,1,1,2
334,1,1,4
335,1,1,5
336,1,1,6
337,1,1,3
338,1,1,2
339,1,1,3
340,1,1,1
341,1,1,3
342,1,1,3
343,1,1,2
344,1,1,6
345,1,1,2
346,1,1,3
347,1,1,5
348,1,1,3
349,1,1,4
350,1,1,1
351,1,1,2
352,1,1,2
353,1,1,1
354,2,1,1
355,1,1,2
