entry_id,P2C1,P2C2,P2C3
1,2,2,0
2,2,2,0
3,2,2,0
4,2,1,2
5,1,2,0
6,2,2,0
7,1,1,1
8,2,2,0
9,2,2,0
10,2,2,0
11,2,2,0
12,2,2,0
13,2,2,0
14,2,2,0
15,1,1,1
16,2,2,0
17,2,2,0
18,2,2,0
19,2,2,0
20,2,2,0
21,1,2,0
22,2,2,0
23,2,2,0
24,2,2,0
25,1,2,0
26,2,2,0
27,2,2,0
28,1,2,0
29,1,2,0
30,2,2,0
31,2,2,0
32,2,2,0
33,2,2,0
34,2,2,0
35,2,2,0
36,2,2,0
37,1,1,1
38,1,1,1
39,2,2,0
40,2,2,0
41,2,2,0
42,1,2,0
43,1,1,1
44,1,2,0
45,2,2,0
46,1,2,0
47,2,2,0
48,1,2,0
49,1,1,1
50,2,2,0
51,2,2,0
52,2,2,0
53,2,2,0
54,1,2,0
55,2,2,0
56,2,2,0
57,2,2,0
58,2,1,2
59,2,2,0
60,2,2,0
61,2,2,0
62,1,2,0
63,2,2,0
64,2,2,0
65,2,2,0
66,2,2,0
67,2,2,0
68,1,2,0
69,2,2,0
70,2,2,0
71,1,2,0
72,2,2,0
73,2,2,0
74,2,2,0
75,2,2,0
76,1,2,0
77,2,2,0
78,2,2,0
79,2,2,0
80,2,2,0
81,2,2,0
82,2,2,0
83,2,2,0
84,2,2,0
85,2,2,0
86,2,2,0
87,2,2,0
88,2,2,0
89,2,2,0
90,2,2,0
91,2,2,0
92,1,1,1
93,2,2,0
94,2,2,0
95,1,1,2
96,1,1,1
97,2,2,0
98,2,2,0
99,1,1,2
100,2,2,0
101,2,2,0
102,2,2,0
103,2,2,0
104,1,1,1
105,2,2,0
106,2,2,0
107,2,2,0
108,2,2,0
109,2,1,2
110,2,2,0
111,2,2,0
112,2,2,0
113,1,2,0
114,2,2,0
115,2,2,0
116,2,2,0
117,2,2,0
118,2,2,0
119,2,2,0
120,2,2,0
121,1,1,1
122,2,2,0
123,1,2,0
124,2,2,0
125,2,2,0
126,2,2,0
127,2,2,0
128,2,1,1
129,2,2,0
130,2,2,0
131,2,2,0
132,2,2,0
133,2,2,0
134,1,1,2
135,2,2,0
136,1,1,1
137,1,1,1
138,2,2,0
139,2,2,0
140,2,2,0
141,2,2,0
142,2,2,0
143,2,2,0
144,2,2,0
145,2,2,0
146,1,1,1
147,1,2,0
148,1,1,1
149,1,2,0
150,2,2,0
151,1,1,1
152,2,2,0
153,2,2,0
154,1,1,2
155,2,2,0
156,2,2,0
157,1,2,0
158,2,2,0
159,2,2,0
160,1,2,0
161,2,2,0
162,2,2,0
163,2,2,0
164,1,1,1
165,2,2,0
166,2,2,0
167,2,2,0
168,2,2,0
169,1,1,1
170,2,2,0
171,1,1,1
172,2,2,0
173,2,2,0
174,2,2,0
175,2,2,0
176,1,1,2
177,2,2,0
178,2,2,0
179,2,2,0
180,1,2,0
181,2,2,0
182,2,2,0
183,1,2,0
184,2,2,0
185,2,2,0
186,2,2,0
187,2,2,0
188,2,2,0
189,2,2,0
190,2,2,0
191,2,2,0
192,2,2,0
193,2,2,0
194,2,2,0
195,2,2,0
196,2,2,0
197,2,2,0
198,1,1,1
199,1,1,1
200,2,2,0
201,2,2,0
202,1,1,2
203,2,2,0
204,1,2,0
205,1,1,2
206,2,2,0
207,1,1,1
208,2,2,0
209,2,2,0
210,2,2,0
211,2,2,0
212,1,1,1
213,2,2,0
214,2,2,0
215,2,2,0
216,2,2,0
217,2,2,0
218,2,2,0
219,2,2,0
220,1,2,0
221,1,2,0
222,2,2,0
223,2,2,0
224,1,1,1
225,2,2,0
226,2,1,1
227,2,2,0
228,2,2,0
229,2,2,0
230,2,2,0
231,2,2,0
232,2,2,0
233,1,1,1
234,2,2,0
235,2,2,0
236,2,2,0
237,2,1,1
238,1,1,2
239,2,2,0
240,1,2,0
241,2,2,0
242,2,2,0
243,2,2,0
244,2,2,0
245,2,2,0
246,2,2,0
247,2,2,0
248,2,2,0
249,2,2,0
250,2,1,1
251,2,2,0
252,2,1,2
253,2,1,1
254,1,1,3
255,1,2,0
256,2,2,0
