entry_id,P2D1,P2D2,P2D3
1,2,2,0
2,1,1,1
3,1,1,3
4,1,1,2
5,1,2,0
6,1,1,1
7,1,1,1
8,2,2,0
9,1,1,1
10,1,2,0
11,1,1,1
12,2,2,0
13,1,2,0
14,1,1,1
15,1,1,1
16,2,2,0
17,1,1,1
18,1,1,1
19,1,1,1
20,1,1,1
21,1,1,2
22,1,1,2
23,1,1,1
24,2,2,0
25,1,1,1
26,2,2,0
27,2,2,0
28,2,1,1
29,2,2,0
30,2,2,0
31,1,1,1
32,2,1,1
33,1,1,3
34,1,1,3
35,1,1,3
36,1,1,2
37,2,2,0
38,1,1,1
39,2,2,0
40,1,1,1
41,1,1,1
42,1,1,1
43,1,1,1
44,1,2,0
45,2,1,1
46,1,1,2
47,2,2,0
48,1,1,2
49,2,2,0
50,2,2,0
51,2,1,1
52,2,2,0
53,2,2,0
54,1,1,1
55,2,2,0
56,2,1,1
57,2,1,1
58,2,2,0
59,2,2,0
60,1,1,1
61,2,2,0
62,1,2,0
63,2,2,0
64,2,2,0
65,2,2,0
66,1,1,2
67,2,2,0
68,1,2,0
69,1,1,2
70,2,2,0
71,1,2,0
72,2,2,0
73,2,2,0
74,1,1,1
75,2,2,0
76,1,2,0
77,2,2,0
78,1,1,1
79,1,1,1
80,1,1,3
81,2,2,0
82,1,1,1
83,2,2,0
84,2,2,0
85,2,2,0
86,2,2,0
87,2,2,0
88,2,2,0
89,2,2,0
90,1,1,3
91,2,2,0
92,1,1,2
93,2,2,0
94,2,2,0
95,2,1,1
96,2,2,0
97,2,2,0
98,2,2,0
99,1,1,2
100,2,2,0
101,2,2,0
102,2,2,0
103,2,2,0
104,2,2,0
105,2,1,2
106,1,1,3
107,1,1,1
108,1,1,1
109,1,1,2
110,2,2,0
111,1,1,4
112,2,2,0
113,2,2,0
114,2,2,0
115,1,1,2
116,1,2,0
117,1,1,2
118,2,2,0
119,2,2,0
120,1,1,1
121,2,2,0
122,1,1,1
123,1,2,0
124,1,1,1
125,1,1,1
126,2,2,0
127,2,2,0
128,1,1,2
129,2,2,0
130,1,1,1
131,1,1,1
132,1,1,3
133,2,2,0
134,2,2,0
135,2,2,0
136,1,1,1
137,1,1,2
138,1,1,1
139,1,1,1
140,1,1,2
141,1,1,1
142,1,1,3
143,2,1,1
144,2,2,0
145,2,2,0
146,2,2,0
147,2,2,0
148,2,2,0
149,1,1,1
150,1,2,0
151,1,1,1
152,2,2,0
153,2,2,0
154,1,1,2
155,1,1,1
156,2,2,0
157,1,2,0
158,1,1,1
159,2,2,0
160,1,1,1
161,1,1,1
162,1,2,0
163,1,2,0
164,2,2,0
165,2,1,2
166,2,2,0
167,2,2,0
168,2,2,0
169,1,1,1
170,1,1,1
171,2,2,0
172,2,2,0
173,1,1,1
174,2,2,0
175,2,2,0
176,1,1,1
177,1,1,2
178,2,2,0
179,2,2,0
180,1,2,0
181,1,1,1
182,1,1,1
183,1,1,1
184,1,1,1
185,1,1,1
186,2,2,0
187,1,1,1
188,1,1,2
189,2,2,0
190,1,1,1
191,1,1,1
192,2,2,0
193,2,1,2
194,2,1,1
195,2,2,0
196,1,1,1
197,2,2,0
198,1,2,0
199,1,1,2
200,1,1,2
201,2,2,0
202,2,1,1
203,2,2,0
204,1,2,0
205,2,2,0
206,1,1,1
207,2,2,0
208,2,2,0
209,1,1,1
210,1,1,1
211,2,1,2
212,1,1,2
213,1,1,2
214,1,1,2
215,1,1,3
216,2,1,1
217,2,2,0
218,2,1,1
219,2,2,0
220,2,2,0
221,1,2,0
222,1,1,1
223,1,1,1
224,2,2,0
225,1,1,1
226,1,1,2
227,2,1,1
228,2,2,0
229,2,2,0
230,2,2,0
231,1,2,0
232,2,2,0
233,2,2,0
234,2,2,0
235,1,1,2
236,2,2,0
237,2,2,0
238,1,1,4
239,2,2,0
240,1,1,2
241,2,2,0
242,1,1,4
243,2,2,0
244,2,2,0
245,1,1,1
246,1,1,2
247,2,2,0
248,1,1,1
249,1,1,1
250,1,1,1
251,2,2,0
252,1,1,2
253,1,1,1
254,2,2,0
255,1,2,0
256,2,2,0
257,2,2,0
258,1,1,1
259,2,2,0
260,1,1,1
261,2,2,0
262,1,1,1
263,2,2,0
264,1,2,0
265,1,1,1
266,1,1,1
267,2,1,1
268,2,2,0
269,1,2,0
270,2,2,0
271,2,2,0
272,1,1,1
273,1,1,1
274,1,1,1
275,1,1,1
276,1,1,1
277,1,1,1
278,1,2,0
279,1,1,1
280,1,1,1
281,2,2,0
282,2,2,0
283,2,2,0
284,2,2,0
285,2,2,0
286,1,1,1
287,2,2,0
288,1,1,1
289,2,2,0
290,1,1,1
291,1,1,1
292,2,2,0
293,1,1,1
