entry_id,household_size
1,9
2,2
3,5
4,4
5,5
6,5
7,6
8,9
9,6
10,2
11,4
12,5
13,4
14,2
15,4
16,5
17,6
18,7
19,4
20,3
21,5
22,3
23,2
24,2
25,6
26,3
27,3
28,4
29,3
30,3
31,6
32,5
33,2
34,3
35,3
36,4
37,5
38,7
39,2
40,9
41,5
42,2
43,10
44,5
45,4
46,7
47,5
48,6
49,2
50,3
51,8
52,4
53,4
54,5
55,9
56,2
57,2
58,5
59,6
60,3
61,4
62,5
63,6
64,4
65,4
66,4
67,3
68,4
69,8
70,6
71,6
72,6
73,4
74,3
75,4
76,4
77,3
78,5
79,3
80,10
81,2
82,2
83,3
84,4
85,3
86,4
87,1
88,2
89,4
90,5
91,9
92,5
93,5
94,4
95,5
96,4
97,3
98,7
99,4
100,4
101,4
102,3
103,4
104,1
105,4
106,3
107,9
108,3
109,4
110,4
111,4
112,3
113,4
114,6
115,6
116,2
117,5
118,6
119,6
120,6
121,4
122,4
123,6
124,6
125,3
126,4
127,4
128,5
129,4
130,6
131,4
132,4
133,4
134,6
135,3
136,4
137,2
138,2
139,6
140,5
141,3
142,4
143,5
144,4
145,5
146,2
147,5
148,3
149,2
150,6
151,6
152,8
153,3
154,3
155,6
156,7
157,3
158,5
159,3
160,9
161,4
162,2
163,4
164,6
165,8
166,1
167,1
168,3
169,2
170,4
171,4
172,6
173,4
174,1
175,5
176,2
177,5
178,7
179,3
180,4
181,3
182,3
183,3
184,2
185,2
186,3
187,5
188,4
189,3
190,2
191,5
192,4
193,9
194,5
195,2
196,4
197,7
198,3
199,5
200,2
201,4
202,5
203,4
204,4
205,6
206,5
207,5
208,4
209,3
210,2
211,4
212,2
213,4
214,7
215,4
216,3
217,3
218,7
219,6
220,2
221,6
222,3
223,6
224,6
225,8
226,4
227,6
228,6
229,1
230,5
231,3
232,3
233,6
234,4
235,4
236,3
237,5
238,5
239,4
240,3
241,6
242,4
243,5
244,3
245,1
246,4
247,3
248,3
249,4
250,3
251,1
252,4
253,3
254,5
255,5
256,2
257,5
258,5
259,3
260,3
261,4
262,9
263,8
264,5
265,4
266,5
267,8
268,3
269,5
270,9
271,3
272,3
273,5
274,4
275,4
276,4
277,2
278,3
279,5
280,10
281,2
282,4
283,6
284,4
285,6
286,4
287,2
288,7
289,4
290,4
291,3
292,4
293,6
294,3
295,3
296,4
297,3
298,5
299,5
300,2
301,3
302,2
303,4
304,4
305,3
306,5
307,4
308,7
309,5
310,4
311,10
312,6
313,2
314,5
315,4
316,3
317,4
318,5
