entry_id,utilize,home,quantity,recurrence
1,1,2,0,3
2,2,2,0, 
3,2,2,0, 
4,2,1,1, 
5,1,1,1,1
6,1,1,1,4
7,1,2,0,2
8,2,2,0, 
9,1,1,1,4
10,1,2,0,1
11,2,1,1, 
12,2,2,0, 
13,1,1,1,4
14,2,2,0, 
15,1,1,1,4
16,1,1,1,3
17,1,1,1,1
18,1,1,1,3
19,1,1,1,2
20,1,2,0,2
21,1,2,0,4
22,2,2,0, 
23,2,2,0, 
24,2,2,0, 
25,1,2,0,4
26,2,2,0, 
27,1,1,1,1
28,2,2,0, 
29,1,1,1,2
30,1,1,1,1
31,2,2,0, 
32,2,2,0, 
33,2,2,0, 
34,2,2,0, 
35,2,2,0, 
36,2,2,0, 
37,1,1,1,4
38,2,2,0, 
39,2,2,0, 
40,2,2,0, 
41,2,2,0, 
42,1,1,1,2
43,1,1,3,1
44,1,2,0,4
45,2,2,0, 
46,1,1,1,2
47,1,1,1,3
48,1,2,0,2
49,2,2,0, 
50,2,2,0, 
51,2,2,0, 
52,2,2,0, 
53,1,2,0,4
54,1,2,0,2
55,2,2,0, 
56,2,2,0, 
57,2,2,0, 
58,1,1,1,2
59,1,1,2,3
60,2,2,0, 
61,2,2,0, 
62,1,2,0,3
63,2,2,0, 
64,2,2,0, 
65,2,2,0, 
66,1,2,0,3
67,1,2,0,1
68,1,2,0,2
69,2,2,0, 
70,2,2,0, 
71,1,2,0,4
72,2,2,0, 
73,1,1,1,2
74,2,1,1, 
75,2,1,1, 
76,1,2,0,2
77,2,2,0, 
78,2,2,0, 
79,1,2,0,2
80,2,2,0, 
81,2,2,0, 
82,2,2,0, 
83,2,2,0, 
84,2,2,0, 
85,2,2,0, 
86,1,1,1,4
87,2,2,0, 
88,1,2,0,2
89,1,1,1,2
90,1,2,0,1
91,2,2,0, 
92,2,2,0, 
93,2,2,0, 
94,1,1,1,1
95,2,1,1, 
96,1,2,0,1
97,2,2,0, 
98,2,2,0, 
99,2,2,0, 
100,1,1,1,2
101,1,1,1,1
102,2,2,0, 
103,2,2,0, 
104,1,1,1,1
105,1,2,0,4
106,2,2,0, 
107,2,2,0, 
108,2,2,0, 
109,2,1,1, 
110,1,2,0,2
111,1,1,1,1
112,1,2,0,2
113,1,2,0,2
114,2,2,0, 
115,2,2,0, 
116,2,2,0, 
117,1,2,0,1
118,1,2,0,3
119,1,1,1,2
120,2,2,0, 
121,1,2,0,2
122,1,1,1,2
123,1,2,0,4
124,2,2,0, 
125,2,2,0, 
126,1,1,1,4
127,1,1,1,4
128,2,1,1, 
129,2,2,0, 
130,2,2,0, 
131,1,1,1,2
132,2,2,0, 
133,2,2,0, 
134,2,2,0, 
135,2,2,0, 
136,2,2,0, 
137,2,2,0, 
138,2,2,0, 
139,2,2,0, 
140,2,2,0, 
141,2,2,0, 
142,2,2,0, 
143,2,2,0, 
144,1,2,0,2
145,2,2,0, 
146,1,1,1,1
147,2,1,1, 
148,1,1,2,1
149,1,1,1,2
150,1,2,0,2
151,1,2,0,2
152,2,2,0, 
153,2,2,0, 
154,1,2,0,2
155,1,1,1,1
156,2,2,0, 
157,1,2,0,1
158,2,2,0, 
159,2,2,0, 
160,2,2,0, 
161,1,1,1,1
162,2,2,0, 
163,2,2,0, 
164,1,1,1,1
165,2,2,0, 
166,2,2,0, 
167,2,2,0, 
168,2,2,0, 
169,1,2,0,4
170,1,2,0,2
171,1,2,0,2
172,2,2,0, 
173,2,2,0, 
174,1,2,0,4
175,1,1,1,4
176,1,1,1,2
177,1,2,0,2
178,1,2,0,2
179,2,2,0, 
180,1,2,0,2
181,1,1,1,3
182,2,1,1, 
183,1,2,0,4
184,1,2,0,1
185,1,2,0,1
186,2,2,0, 
187,2,2,0, 
188,2,2,0, 
189,2,2,0, 
190,2,2,0, 
191,2,2,0, 
192,1,1,1,3
193,2,2,0, 
194,1,1,1,2
195,1,2,0,2
196,1,1,1,2
197,2,2,0, 
198,1,2,0,2
199,2,2,0, 
200,1,2,0,2
201,1,1,1,1
202,2,1,1, 
203,2,2,0, 
204,1,1,1,2
205,2,2,0, 
206,2,2,0, 
207,1,1,1,4
208,1,1,1,1
209,1,1,1,1
210,1,1,1,3
211,1,2,0,4
212,2,2,0, 
213,2,2,0, 
214,2,2,0, 
215,2,2,0, 
216,2,2,0, 
217,2,2,0, 
218,2,2,0, 
219,2,2,0, 
220,2,2,0, 
221,1,2,0,99
222,2,1,1, 
223,2,2,0, 
224,1,1,1,1
225,2,2,0, 
226,2,1,1, 
227,2,1,1, 
228,1,1,4,1
229,1,2,0,4
230,1,1,1,1
231,2,2,0, 
232,2,2,0, 
233,1,1,1,1
234,2,2,0, 
235,2,2,0, 
236,2,2,0, 
237,1,1,1,2
238,1,1,1,1
239,2,2,0, 
240,2,2,0, 
241,1,1,1,3
242,2,2,0, 
243,2,2,0, 
244,2,2,0, 
245,2,2,0, 
246,2,2,0, 
247,2,2,0, 
248,2,2,0, 
249,2,1,1, 
250,2,1,1, 
251,2,2,0, 
252,2,1,1, 
253,2,1,1, 
254,2,1,1, 
255,1,1,1,1
256,2,2,0, 
257,2,2,0, 
258,2,2,0, 
259,2,2,0, 
260,2,2,0, 
261,2,2,0, 
262,1,1,2,1
263,1,2,0,3
264,1,1,1,4
265,1,2,0,99
266,1,1,1,3
267,2,2,0, 
268,2,2,0, 
269,1,1,1,4
270,2,2,0, 
271,1,1,1,1
272,2,1,1, 
273,1,2,0,2
274,2,2,0, 
275,1,1,1,2
276,2,2,0, 
277,2,2,0, 
278,2,2,0, 
279,2,2,0, 
280,1,1,3,1
281,2,2,0, 
282,2,2,0, 
283,2,2,0, 
284,2,2,0, 
285,1,1,4,1
286,2,2,0, 
287,2,2,0, 
288,1,2,0,4
289,1,1,1,3
290,2,2,0, 
291,2,1,1, 
292,1,1,1,1
293,1,2,0,1
294,2,2,0, 
295,2,2,0, 
296,2,2,0, 
297,2,2,0, 
298,2,2,0, 
299,2,2,0, 
300,2,2,0, 
301,2,2,0, 
302,1,1,1,2
303,1,1,1,4
304,2,2,0, 
305,1,2,0,1
306,1,1,1,2
307,1,1,1,2
308,2,2,0, 
309,1,1,1,2
310,2,2,0, 
311,2,2,0, 
312,2,1,1, 
313,2,1,1, 
314,2,2,0, 
315,1,1,1,2
316,1,1,1,2
317,1,1,1,2
318,1,1,1,4
319,2,2,0, 
320,1,1,1,1
321,1,1,1,3
322,1,2,0,4
323,2,2,0, 
324,2,2,0, 
325,2,1,1, 
326,2,2,0, 
327,2,1,1, 
328,2,2,0, 
329,2,2,0, 
330,2,2,0, 
331,1,2,0,3
332,1,1,1,4
333,2,2,0, 
334,2,2,0, 
335,2,2,0, 
336,2,1,1, 
337,2,2,0, 
338,1,2,0,2
339,2,2,0, 
340,1,1,1,2
341,1,2,0,1
342,2,2,0, 
343,1,2,0,2
344,2,2,0, 
345,2,2,0, 
346,2,1,1, 
347,1,1,1,2
348,2,1,1, 
349,2,2,0, 
350,2,2,0, 
351,1,1,1,2
352,1,1,1,2
353,1,1,1,1
354,2,2,0, 
355,2,2,0, 
356,2,2,0, 
357,1,2,0,3
358,1,1,1,2
359,2,2,0, 
360,1,1,1,2
361,2,2,0, 
362,1,2,0,99
363,2,2,0, 
364,2,1,1, 
365,2,2,0, 
366,1,2,0,1
367,1,1,1,1
368,2,2,0, 
369,2,2,0, 
370,1,2,0,1
371,2,1,1, 
372,1,1,1,4
373,2,1,1, 
374,1,2,0,2
375,1,2,0,2
376,2,2,0, 
377,2,2,0, 
378,1,1,1,3
379,2,2,0, 
380,2,2,0, 
381,1,2,0,4
382,1,2,0,2
383,1,1,1,4
384,1,1,1,4
385,2,2,0, 
386,1,1,1,4
387,2,2,0, 
388,1,1,2,1
389,2,2,0, 
390,1,2,0,4
391,2,2,0, 
392,2,2,0, 
393,2,2,0, 
394,2,2,0, 
395,2,1,1, 
396,1,2,0,4
397,1,2,0,3
398,1,2,0,4
399,1,2,0,1
400,2,2,0, 
